Radius_Meters,Twist_Degrees,Chord_Meters
1.375,3.10383333333333,12.199
2.475,3.22941666666667,12.199
3.39166666666667,3.33400833333333,12.199
4.30833333333333,3.43869166666667,12.199
5.225,3.54328333333333,12.199
6.14166666666667,3.64824166666667,12.199
7.05833333333333,3.75329166666667,12.199
7.975,3.85806666666667,12.199
8.89166666666667,3.96284166666667,12.199
9.80833333333333,4.06734166666667,12.199
10.725,4.172025,12.199
11.6416666666667,4.19741666666667,12.0825833333333
12.5583333333333,4.21868333333333,11.7773333333333
13.475,4.23995,11.176
14.3916666666667,4.261125,10.5975833333333
15.3083333333333,4.22748333333333,10.1493333333333
16.225,4.184125,9.89266666666667
18.0583333333333,4.09731666666667,9.37933333333333
19.8916666666667,4.00473333333333,8.866
21.725,3.91123333333333,8.35083333333333
23.5583333333333,3.80563333333333,7.82283333333333
25.3916666666667,3.69746666666667,7.271
27.225,3.58325,6.71091666666667
29.0583333333333,3.467475,6.15175
30.8916666666667,3.35591666666667,5.61183333333333
32.725,3.24591666666667,5.08383333333333
34.5583333333333,3.13591666666667,4.55675
36.3916666666667,3.02591666666667,4.03425
38.225,2.91591666666667,3.5145
40.0583333333333,2.80591666666667,3.05433333333333
41.8916666666667,2.69591666666667,2.64916666666667
43.725,2.58591666666667,2.29441666666667
45.5583333333333,2.475825,1.93966666666667
47.3916666666667,2.36591666666667,1.58583333333333
49.225,2.25591666666667,1.23016666666667
51.0583333333333,2.14591666666667,0.8745
51.975,2.07964166666667,0.696666666666667
52.8916666666667,2.00355833333333,0.526166666666667
53.8083333333333,1.92738333333333,0.370333333333333
54.2666666666667,1.84506666666667,0.292416666666667
54.725,1.73295833333333,0.231916666666667
55.1833333333333,1.6214,0.198
55.6416666666667,1.50956666666667,0.163166666666667
56.1,1.39773333333333,0.128333333333333
56.5583333333333,1.2859,0.0925833333333334
57.0166666666667,1.173975,0.0568333333333333
57.475,1.06214166666667,0.0210833333333333
57.75,0.995041666666667,0
